Bairro 	Homicidios por 100.000 habitantes	Numero de Homicidios	Populacao
VILA VELHA	50	31	61.617
VILA UNIAO	65	10	15.378
VILA PERY	29	6	20.645
VILA ELLERY	76	6	7.863
VICENTE PINZON	75	34	45.518
VARJOTA	24	2	8.421
SIQUEIRA	89	30	33.628
SERRINHA	73	21	28.770
SAPIRANGA COITE	40	13	32.158
SAO JOAO DO TAUAPE	87	24	27.598
SAO GERARDO	21	3	14.505
SAO BENTO	0	0	11.964
SALINAS	0	0	4.298
SABIAGUABA	425	9	2.117
RODOLFO TEOFILO	21	4	19.114
QUINTINO CUNHA	76	36	47.277
PRESIDENTE KENNEDY	9	2	23.004
PREFEITO JOSE VALTER	75	25	33.427
PRAIA DO FUTURO II	100	12	11.957
PRAIA DO FUTURO I	181	12	6.630
PRAIA DE IRACEMA	351	11	3.130
PLANALTO AYRTON SENNA	76	30	39.446
PIRAMBU	214	38	17.775
PICI	54	23	42.494
PEDRAS	75	1	1.342
PAUPINA	82	12	14.665
PATRIOLINO RIBEIRO	38	2	5.266
PASSARE	69	35	50.940
PARREAO	0	0	11.072
PARQUELANDIA	42	6	14.432
PARQUE SAO JOSE	162	17	10.486
PARQUE SANTA ROSA	63	8	12.790
PARQUE PRESIDENTE VARGAS	125	9	7.192
PARQUE MANIBURA	0	0	7.529
PARQUE IRACEMA	24	2	8.409
PARQUE DOIS IRMAOS	51	14	27.236
PARQUE ARAXA	0	0	6.715
PARANGABA	36	11	30.947
PAPICU	60	11	18.370
PANAMERICANO	79	7	8.815
PADRE ANDRADE	46	6	12.936
MUCURIPE	73	10	13.747
MOURA BRASIL	159	6	3.765
MONTESE	15	4	25.970
MONTE CASTELO	91	12	13.215
MONDUBIM	62	47	76.044
MESSEJANA	110	46	41.689
MEIRELES	5	2	36.982
MARAPONGA	118	12	10.155
MANUEL DIAS BRANCO	207	3	1.447
MANOEL SATIRO	24	9	37.952
LAGOA REDONDA	47	13	27.949
JOSE DE ALENCAR	125	20	16.003
JOSE BONIFACIO	34	3	8.848
JOQUEI CLUBE	36	7	19.331
JOAQUIM TAVORA	17	4	23.450
JOAO XXIII	54	10	18.398
JARDIM IRACEMA	125	29	23.184
JARDIM GUANABARA	40	6	14.919
JARDIM DAS OLIVEIRAS	105	31	29.571
JARDIM CEARENSE	10	1	10.103
JARDIM AMERICA	65	8	12.264
JANGURUSSU	113	57	50.479
JACARECANGA	77	11	14.204
ITAPERI	35	8	22.563
ITAOCA	80	10	12.477
HENRIQUE JORGE	22	6	26.994
GUAJERU	0	0	6.668
GRANJA PORTUGAL	66	26	39.651
GRANJA LISBOA	61	32	52.042
GENTILANDIA	0	0	0
GENIBAU	92	37	40.336
FLORESTA	25	10	40.336
FATIMA	24	7	28.896
FARIAS BRITO	4	1	23.309
ENG LUCIANO CAVALCANTE	8	1	12.063
EDSON QUEIROZ	108	24	22.210
DOM LUSTOSA	30	4	13.147
DIONISIO TORRES	19	3	15.634
DIAS MACEDO	83	10	12.111
DENDE	89	5	5.637
DEMOCRITO ROCHA	45	5	10.994
DE LOURDES	0	0	3.370
DAMAS	19	2	10.719
CURIO	144	11	7.636
CRISTO REDENTOR	64	17	26.717
COUTO FERNANDES	76	4	5.260
CONJUNTO PALMEIRAS	126	46	36.599
CONJUNTO ESPERANCA	91	15	16.405
CONJUNTO CEARA II	25	6	23.673
CONJUNTO CEARA I	36	7	19.221
COCO	5	1	20.492
COACU	0	0	7.188
CIDADE DOS FUNCIONARIOS	49	9	18.256
CIDADE 2000	60	5	8.272
CENTRO	105	30	28.538
CASTELAO	0	7	0
CARLITO PAMPLONA	58	17	29.076
CANINDEZINHO	70	29	41.202
CAMBEBA	52	4	7.625
CAJAZEIRAS	76	11	14.478
CAIS DO PORTO	85	19	22.382
BONSUCESSO	61	25	41.198
BOM JARDIM	140	53	37.758
BOM FUTURO	0	0	6.405
BOA VISTA	8	1	12.247
BENFICA	15	2	12.954
BELA VISTA	101	17	16.754
BARROSO	151	45	29.847
BARRA DO CEARA	97	70	72.423
AUTRAN NUNES	85	18	21.208
ANTONIO BEZERRA	62	16	25.846
ANCURI	90	18	20.070
AMADEU FURTADO	0	0	11.703
ALVARO WEYNE	89	21	23.690
ALTO DA BALANCA	78	10	12.814
ALDEOTA	19	8	42.361
AEROPORTO	23	2	8.618
AEROLANDIA	150	17	11.360
