bairro,taxaPorCemMilHabitantes,homicidios,populacaoTotal
VILA VELHA,50,31,61617
VILA UNIAO,65,10,15378
VILA PERY,29,6,20645
VILA ELLERY,76,6,7863
VICENTE PINZON,75,34,45518
VARJOTA,24,2,8421
SIQUEIRA,89,30,33628
SERRINHA,73,21,28770
SAPIRANGA COITE,40,13,32158
SAO JOAO DO TAUAPE,87,24,27598
SAO GERARDO,21,3,14505
SAO BENTO,0,0,11964
SALINAS,0,0,4298
SABIAGUABA,425,9,2117
RODOLFO TEOFILO,21,4,19114
QUINTINO CUNHA,76,36,47277
PRESIDENTE KENNEDY,9,2,23004
PREFEITO JOSE VALTER,75,25,33427
PRAIA DO FUTURO II,100,12,11957
PRAIA DO FUTURO I,181,12,6630
PRAIA DE IRACEMA,351,11,3130
PLANALTO AYRTON SENNA,76,30,39446
PIRAMBU,214,38,17775
PICI,54,23,42494
PEDRAS,75,1,1342
PAUPINA,82,12,14665
PATRIOLINO RIBEIRO,38,2,5266
PASSARE,69,35,50940
PARREAO,0,0,11072
PARQUELANDIA,42,6,14432
PARQUE SAO JOSE,162,17,10486
PARQUE SANTA ROSA,63,8,12790
PARQUE PRESIDENTE VARGAS,125,9,7192
PARQUE MANIBURA,0,0,7529
PARQUE IRACEMA,24,2,8409
PARQUE DOIS IRMAOS,51,14,27236
PARQUE ARAXA,0,0,6715
PARANGABA,36,11,30947
PAPICU,60,11,18370
PANAMERICANO,79,7,8815
PADRE ANDRADE,46,6,12936
MUCURIPE,73,10,13747
MOURA BRASIL,159,6,3765
MONTESE,15,4,25970
MONTE CASTELO,91,12,13215
MONDUBIM,62,47,76044
MESSEJANA,110,46,41689
MEIRELES,5,2,36982
MARAPONGA,118,12,10155
MANUEL DIAS BRANCO,207,3,1447
MANOEL SATIRO,24,9,37952
LAGOA REDONDA,47,13,27949
JOSE DE ALENCAR,125,20,16003
JOSE BONIFACIO,34,3,8848
JOQUEI CLUBE,36,7,19331
JOAQUIM TAVORA,17,4,23450
JOAO XXIII,54,10,18398
JARDIM IRACEMA,125,29,23184
JARDIM GUANABARA,40,6,14919
JARDIM DAS OLIVEIRAS,105,31,29571
JARDIM CEARENSE,10,1,10103
JARDIM AMERICA,65,8,12264
JANGURUSSU,113,57,50479
JACARECANGA,77,11,14204
ITAPERI,35,8,22563
ITAOCA,80,10,12477
HENRIQUE JORGE,22,6,26994
GUAJERU,0,0,6668
GRANJA PORTUGAL,66,26,39651
GRANJA LISBOA,61,32,52042
GENTILANDIA,0,0,0
GENIBAU,92,37,40336
FLORESTA,25,10,40336
FATIMA,24,7,28896
FARIAS BRITO,4,1,23309
ENG LUCIANO CAVALCANTE,8,1,12063
EDSON QUEIROZ,108,24,22210
DOM LUSTOSA,30,4,13147
DIONISIO TORRES,19,3,15634
DIAS MACEDO,83,10,12111
DENDE,89,5,5637
DEMOCRITO ROCHA,45,5,10994
DE LOURDES,0,0,3370
DAMAS,19,2,10719
CURIO,144,11,7636
CRISTO REDENTOR,64,17,26717
COUTO FERNANDES,76,4,5260
CONJUNTO PALMEIRAS,126,46,36599
CONJUNTO ESPERANCA,91,15,16405
CONJUNTO CEARA II,25,6,23673
CONJUNTO CEARA I,36,7,19221
COCO,5,1,20492
COACU,0,0,7188
CIDADE DOS FUNCIONARIOS,49,9,18256
CIDADE 2000,60,5,8272
CENTRO,105,30,28538
CASTELAO,0,7,0
CARLITO PAMPLONA,58,17,29076
CANINDEZINHO,70,29,41202
CAMBEBA,52,4,7625
CAJAZEIRAS,76,11,14478
CAIS DO PORTO,85,19,22382
BONSUCESSO,61,25,41198
BOM JARDIM,140,53,37758
BOM FUTURO,0,0,6405
BOA VISTA,8,1,12247
BENFICA,15,2,12954
BELA VISTA,101,17,16754
BARROSO,151,45,29847
BARRA DO CEARA,97,70,72423
AUTRAN NUNES,85,18,21208
ANTONIO BEZERRA,62,16,25846
ANCURI,90,18,20070
AMADEU FURTADO,0,0,11703
ALVARO WEYNE,89,21,23690
ALTO DA BALANCA,78,10,12814
ALDEOTA,19,8,42361
AEROPORTO,23,2,8618
AEROLANDIA,150,17,11360
